Sentence,Intent
Look for documentaries available on YouTube.,YouTubeVideos
Can you suggest channels that review tech gadgets?,YouTubeVideos
What are some good channels for learning a new language?,YouTubeVideos
Search for inspirational talks on YouTube.,YouTubeVideos
Can you find art tutorial videos?,YouTubeVideos
What are the best gaming channels on YouTube?,YouTubeVideos
Look for channels focused on mental health and wellness.,YouTubeVideos
Can you recommend channels that explain science concepts?,YouTubeVideos
What are some popular lifestyle vlogs to watch?,YouTubeVideos
Search for channels that offer financial advice.,YouTubeVideos
Can you find channels dedicated to pet care tips?,YouTubeVideos
What are the most viewed prank videos on YouTube?,YouTubeVideos
Look for fashion haul videos on YouTube.,YouTubeVideos
Can you recommend channels for learning coding?,YouTubeVideos
What are some must-watch motivational videos?,YouTubeVideos
Search for nature documentary channels.,YouTubeVideos
Can you find channels that offer home organization tips?,YouTubeVideos
What are some popular ASMR channels?,YouTubeVideos
Look for food review channels on YouTube.,YouTubeVideos
Can you recommend channels that discuss current events?,YouTubeVideos
What are the top-rated channels for learning photography?,YouTubeVideos
Search for car review channels on YouTube.,YouTubeVideos
Can you find channels that cover conspiracy theories?,YouTubeVideos
What are some popular history channels on YouTube?,YouTubeVideos
Look for workout challenges available on YouTube.,YouTubeVideos
Can you recommend cooking channels that specialize in desserts?,YouTubeVideos
What are the best channels for parenting tips?,YouTubeVideos
Search for motivational speeches on YouTube.,YouTubeVideos
Can you find travel channels that focus on budget trips?,YouTubeVideos
What are some entertaining game show channels?,YouTubeVideos
Look for personal finance channels on YouTube.,YouTubeVideos
Can you recommend channels that offer home improvement tips?,YouTubeVideos
What are the top-rated wellness and self-care channels?,YouTubeVideos
Search for tech unboxing videos on YouTube.,YouTubeVideos
Can you find channels dedicated to woodworking?,YouTubeVideos
What are some creative writing channels to follow?,YouTubeVideos
Look for makeup transformation videos.,YouTubeVideos
Can you recommend channels for practicing mindfulness?,YouTubeVideos
What are the most popular travel guide videos?,YouTubeVideos
Search for storytelling channels on YouTube.,YouTubeVideos
Can you find channels that review board games?,YouTubeVideos
What are some educational kids' channels?,YouTubeVideos
Look for channels that offer gardening tips.,YouTubeVideos
Can you recommend channels focused on sustainable living?,YouTubeVideos
What are the top-rated art critique channels?,YouTubeVideos
Search for interviews with famous personalities on YouTube.,YouTubeVideos
Can you find channels that focus on home cooking?,YouTubeVideos
What are some popular science experiment channels?,YouTubeVideos
Look for motivational quotes and speeches compilation videos.,YouTubeVideos
Can you recommend channels that explain complex math concepts?,YouTubeVideos
What are the best channels for film analysis?,YouTubeVideos
Search for animated storytelling channels on YouTube.,YouTubeVideos
Can you find music channels that feature live performances?,YouTubeVideos
What are some engaging book review channels?,YouTubeVideos
Look for pet training channels on YouTube.,YouTubeVideos
Can you recommend channels that offer baking tutorials?,YouTubeVideos
What are the most popular unboxing videos?,YouTubeVideos
Search for challenges and trends on YouTube.,YouTubeVideos
Can you find channels that focus on world cultures?,YouTubeVideos
What are some entertaining comedy skit channels?,YouTubeVideos
Look for life hacks and tips videos on YouTube.,YouTubeVideos
Can you recommend channels that cover space exploration?,YouTubeVideos
What are the best channels for learning history?,YouTubeVideos
Search for travel documentaries on YouTube.,YouTubeVideos
Can you find channels that offer interview tips?,YouTubeVideos
What are some popular home decor channels?,YouTubeVideos
Look for cooking channels that specialize in quick meals.,YouTubeVideos
Can you recommend channels that explore ancient civilizations?,YouTubeVideos
What are the top-rated educational channels for children?,YouTubeVideos
Search for motivational fitness videos on YouTube.,YouTubeVideos
Can you find channels that review subscription boxes?,YouTubeVideos
What are some popular reaction video channels?,YouTubeVideos
Look for channels that focus on psychology and human behavior.,YouTubeVideos
Can you recommend channels that offer knitting tutorials?,YouTubeVideos
What are the best channels for learning public speaking?,YouTubeVideos
Search for channels that cover current technology trends.,YouTubeVideos
Can you find channels that feature celebrity interviews?,YouTubeVideos
What are some interesting science channels for kids?,YouTubeVideos
Look for popular channels that review movies.,YouTubeVideos
Can you recommend channels for learning about philosophy?,YouTubeVideos
What are the top-rated cooking channels focused on healthy meals?,YouTubeVideos
Search for channels that provide mental health advice.,YouTubeVideos
Can you find channels that feature sports highlights?,YouTubeVideos
What are some popular nature channels on YouTube?,YouTubeVideos
Look for technology review channels that cover smartphones.,YouTubeVideos
Can you recommend channels that discuss sustainability in fashion?,YouTubeVideos
What are the best channels for exploring different cuisines?,YouTubeVideos
Search for pet rescue stories on YouTube.,YouTubeVideos
Can you find channels that focus on outdoor adventures?,YouTubeVideos
What are some engaging motivational channels?,YouTubeVideos
Look for video essays on social issues on YouTube.,YouTubeVideos
Can you recommend channels that teach about finance and investing?,YouTubeVideos
What are the top-rated channels for exploring mythology?,YouTubeVideos
Search for DIY home renovation videos on YouTube.,YouTubeVideos
Can you find channels that focus on architecture?,YouTubeVideos
What are some popular channels for learning graphic design?,YouTubeVideos
Look for channels that showcase extreme sports.,YouTubeVideos
Can you recommend channels that highlight local businesses?,YouTubeVideos
What are the best channels for exploring local food scenes?,YouTubeVideos
Search for popular magic trick channels on YouTube.,YouTubeVideos
Can you find channels that focus on minimalism?,YouTubeVideos
What are some entertaining prank channels?,YouTubeVideos
Look for channels that offer public service announcements.,YouTubeVideos
Can you recommend channels that explore technological innovations?,YouTubeVideos
What are the top-rated channels for discussing environmental issues?,YouTubeVideos
Search for channels that offer sewing tutorials.,YouTubeVideos
Can you find channels that showcase wildlife documentaries?,YouTubeVideos
What are some popular motivational YouTube channels?,YouTubeVideos
Look for channels that focus on financial literacy for teens.,YouTubeVideos
Can you recommend channels for enhancing productivity?,YouTubeVideos
What are the best channels for mental health awareness?,YouTubeVideos
Search for unique travel experiences on YouTube.,YouTubeVideos
Can you find channels that cover global news?,YouTubeVideos
What are some popular science fiction analysis channels?,YouTubeVideos
Look for creative photography channels on YouTube.,YouTubeVideos
Can you recommend channels that teach coding for kids?,YouTubeVideos
What are the most popular challenges on YouTube?,YouTubeVideos
Search for motivational fitness journey videos.,YouTubeVideos
Can you find channels that provide relationship advice?,YouTubeVideos
What are some engaging storytelling channels for children?,YouTubeVideos
Look for popular YouTube channels that explore mental health topics.,YouTubeVideos
"Lower the volume a bit, please.",DecreaseVolume
Can you turn down the music?,DecreaseVolume
Reduce the sound on the TV.,DecreaseVolume
"Make it quieter, please.",DecreaseVolume
Please lower the speaker volume.,DecreaseVolume
Turn the volume down a notch.,DecreaseVolume
Can you mute the sound?,DecreaseVolume
Decrease the audio level.,DecreaseVolume
Bring down the volume on my phone.,DecreaseVolume
Can you soften the music?,DecreaseVolume
Lower the volume for a more relaxed vibe.,DecreaseVolume
Can you turn down the podcast?,DecreaseVolume
Reduce the volume during the conversation.,DecreaseVolume
Please decrease the sound while I focus.,DecreaseVolume
Turn the audio down a little.,DecreaseVolume
"Make it less loud, please.",DecreaseVolume
Lower the volume so I can hear better.,DecreaseVolume
Can you decrease the music volume?,DecreaseVolume
Set the audio to a lower level.,DecreaseVolume
Please turn down the sound effects.,DecreaseVolume
Bring the volume down for clarity.,DecreaseVolume
Can you adjust the sound to be quieter?,DecreaseVolume
Reduce the volume when I’m on a call.,DecreaseVolume
"Lower the background music, please.",DecreaseVolume
Decrease the volume for a more peaceful atmosphere.,DecreaseVolume
Can you mute the sound?,MuteVolume
Please silence the music.,MuteVolume
Turn off the volume completely.,MuteVolume
"Mute the TV, please.",MuteVolume
Can you silence the audio?,MuteVolume
Please mute the background noise.,MuteVolume
Set the volume to mute.,MuteVolume
Can you turn off the speaker?,MuteVolume
Mute the sound while I work.,MuteVolume
Please disable the audio for a moment.,MuteVolume
Can you turn off the music for now?,MuteVolume
"Silence the notifications, please.",MuteVolume
Please mute my call.,MuteVolume
Mute the sound effects in the game.,MuteVolume
Can you switch the audio off?,MuteVolume
Turn off all sounds for a bit.,MuteVolume
Please mute the video playback.,MuteVolume
Set the audio to silent mode.,MuteVolume
Can you mute the alert sounds?,MuteVolume
Please stop the audio from playing.,MuteVolume
Mute everything while I take a break.,MuteVolume
Can you switch off the volume during the presentation?,MuteVolume
Please silence the speaker output.,MuteVolume
Mute the radio for a moment.,MuteVolume
Can you turn off the volume during the meeting?,MuteVolume
Please keep the sound off for now.,MuteVolume
Set the volume to 10.,SetVolume
Set the volume to 20.,SetVolume
Set the volume to 30.,SetVolume
Set the volume to 40.,SetVolume
Set the volume to 50.,SetVolume
Set the volume to 60.,SetVolume
Set the volume to 70.,SetVolume
Set the volume to 80.,SetVolume
Set the volume to 90.,SetVolume
Set the volume to 100.,SetVolume
Set the volume to a low level.,SetVolume
Set the volume to a medium level.,SetVolume
Set the volume to a high level.,SetVolume
Set the volume to max.,SetVolume
Set the volume to minimum.,SetVolume
Set the volume for notifications to 50.,SetVolume
Set the volume for music to 75.,SetVolume
Set the volume for the movie to 40.,SetVolume
Set the volume for the podcast to 60.,SetVolume
Set the alarm volume to 80.,SetVolume
Set the TV volume to 30.,SetVolume
Set the game audio volume to 70.,SetVolume
Set the volume for the meeting to 50.,SetVolume
Set the volume for the call to 60.,SetVolume
Set the volume for the speaker to 90.,SetVolume
Set the volume for the background music to 40.,SetVolume
Increase the volume to 25.,SetVolume
Lower the volume to 15.,SetVolume
Adjust the volume to 45.,SetVolume
Change the volume to 55.,SetVolume
Raise the volume to 65.,SetVolume
Set the volume to a comfortable level.,SetVolume
Set the volume for the radio to 35.,SetVolume
Turn the volume down to 20.,SetVolume
Turn the volume up to 75.,SetVolume
Set the ringer volume to 50.,SetVolume
Set the sound volume to 80.,SetVolume
Adjust the media volume to 60.,SetVolume
Set the volume for alerts to 40.,SetVolume
Set the volume level for streaming to 70.,SetVolume
Set the volume for the audio book to 55.,SetVolume
Set the volume during the workout to 65.,SetVolume
Set the sound level for presentations to 50.,SetVolume
Set the background music volume to 45.,SetVolume
Adjust the headset volume to 80.,SetVolume
Set the volume for the live stream to 90.,SetVolume
Set the volume on the Bluetooth speaker to 30.,SetVolume
Set the sound level for video calls to 60.,SetVolume
Set the volume for the news broadcast to 40.,SetVolume
Set the game chat volume to 75.,SetVolume
Set the volume for children's shows to 50.,SetVolume
Increase the volume for workout music to 70.,SetVolume
Set the volume to make the dialogue clearer.,SetVolume
Set the volume for the children's audiobook to 60.,SetVolume
Set the sound level for the conference call to 80.,SetVolume
Adjust the music volume to 55 for a party.,SetVolume
Set the background sound volume to 35.,SetVolume
Set the volume to 50 percent.,SetVolume
Set the volume to 50 percent.,SetVolume
Set the volume to 50 percent.,SetVolume
Set the volume to 50 percent.,SetVolume
Set the volume to 50 percent.,SetVolume
Set the volume to 50 percent.,SetVolume
Set the volume to 50 percent.,SetVolume
Set the volume to 50 percent.,SetVolume
Can you adjust the volume to a lower level?,SetVolume
Can you adjust the volume to a lower level?,SetVolume
Can you adjust the volume to a lower level?,SetVolume
Can you adjust the volume to a lower level?,SetVolume
Can you adjust the volume to a lower level?,SetVolume
Can you adjust the volume to a lower level?,SetVolume
Can you adjust the volume to a lower level?,SetVolume
Can you adjust the volume to a lower level?,SetVolume
Make the volume 75.,SetVolume
Make the volume 75.,SetVolume
Make the volume 75.,SetVolume
Make the volume 75.,SetVolume
Make the volume 75.,SetVolume
Make the volume 75.,SetVolume
Make the volume 75.,SetVolume
Make the volume 75.,SetVolume
Change the volume to medium.,SetVolume
Change the volume to medium.,SetVolume
Change the volume to medium.,SetVolume
Change the volume to medium.,SetVolume
Change the volume to medium.,SetVolume
Change the volume to medium.,SetVolume
Change the volume to medium.,SetVolume
Change the volume to medium.,SetVolume
Adjust the volume to max.,SetVolume
Adjust the volume to max.,SetVolume
Adjust the volume to max.,SetVolume
Adjust the volume to max.,SetVolume
Adjust the volume to max.,SetVolume
Adjust the volume to max.,SetVolume
Adjust the volume to max.,SetVolume
Adjust the volume to max.,SetVolume
Set the volume to 30 percent.,SetVolume
Set the volume to 30 percent.,SetVolume
Set the volume to 30 percent.,SetVolume
Set the volume to 30 percent.,SetVolume
Set the volume to 30 percent.,SetVolume
Set the volume to 30 percent.,SetVolume
Set the volume to 30 percent.,SetVolume
Set the volume to 30 percent.,SetVolume
Can you put the volume at 20?,SetVolume
Can you put the volume at 20?,SetVolume
Can you put the volume at 20?,SetVolume
Can you put the volume at 20?,SetVolume
Can you put the volume at 20?,SetVolume
Can you put the volume at 20?,SetVolume
Can you put the volume at 20?,SetVolume
Can you put the volume at 20?,SetVolume
Change the volume to 40.,SetVolume
Change the volume to 40.,SetVolume
Change the volume to 40.,SetVolume
Change the volume to 40.,SetVolume
Change the volume to 40.,SetVolume
Change the volume to 40.,SetVolume
Change the volume to 40.,SetVolume
Change the volume to 40.,SetVolume
Make sure the volume is 10 percent.,SetVolume
Make sure the volume is 10 percent.,SetVolume
Make sure the volume is 10 percent.,SetVolume
Make sure the volume is 10 percent.,SetVolume
Make sure the volume is 10 percent.,SetVolume
Make sure the volume is 10 percent.,SetVolume
Make sure the volume is 10 percent.,SetVolume
Make sure the volume is 10 percent.,SetVolume
Can you put the volume at 60?,SetVolume
Can you put the volume at 60?,SetVolume
Can you put the volume at 60?,SetVolume
Can you put the volume at 60?,SetVolume
Can you put the volume at 60?,SetVolume
Can you put the volume at 60?,SetVolume
Can you put the volume at 60?,SetVolume
Can you put the volume at 60?,SetVolume
Can you book a table at an Italian restaurant?,BookRestaurant
Can you book a table at an Italian restaurant?,BookRestaurant
Can you book a table at an Italian restaurant?,BookRestaurant
Can you book a table at an Italian restaurant?,BookRestaurant
Can you book a table at an Italian restaurant?,BookRestaurant
Can you book a table at an Italian restaurant?,BookRestaurant
Can you book a table at an Italian restaurant?,BookRestaurant
Can you book a table at an Italian restaurant?,BookRestaurant
I want to make a reservation for two tonight.,BookRestaurant
I want to make a reservation for two tonight.,BookRestaurant
I want to make a reservation for two tonight.,BookRestaurant
I want to make a reservation for two tonight.,BookRestaurant
I want to make a reservation for two tonight.,BookRestaurant
I want to make a reservation for two tonight.,BookRestaurant
I want to make a reservation for two tonight.,BookRestaurant
I want to make a reservation for two tonight.,BookRestaurant
Find a restaurant for lunch and book it.,BookRestaurant
Find a restaurant for lunch and book it.,BookRestaurant
Find a restaurant for lunch and book it.,BookRestaurant
Find a restaurant for lunch and book it.,BookRestaurant
Find a restaurant for lunch and book it.,BookRestaurant
Find a restaurant for lunch and book it.,BookRestaurant
Find a restaurant for lunch and book it.,BookRestaurant
Find a restaurant for lunch and book it.,BookRestaurant
Reserve a table at the nearest diner.,BookRestaurant
Reserve a table at the nearest diner.,BookRestaurant
Reserve a table at the nearest diner.,BookRestaurant
Reserve a table at the nearest diner.,BookRestaurant
Reserve a table at the nearest diner.,BookRestaurant
Reserve a table at the nearest diner.,BookRestaurant
Reserve a table at the nearest diner.,BookRestaurant
Reserve a table at the nearest diner.,BookRestaurant
Can you schedule a reservation at a Chinese place?,BookRestaurant
Can you schedule a reservation at a Chinese place?,BookRestaurant
Can you schedule a reservation at a Chinese place?,BookRestaurant
Can you schedule a reservation at a Chinese place?,BookRestaurant
Can you schedule a reservation at a Chinese place?,BookRestaurant
Can you schedule a reservation at a Chinese place?,BookRestaurant
Can you schedule a reservation at a Chinese place?,BookRestaurant
Can you schedule a reservation at a Chinese place?,BookRestaurant
I'd like to book a reservation for dinner at 7 PM.,BookRestaurant
I'd like to book a reservation for dinner at 7 PM.,BookRestaurant
I'd like to book a reservation for dinner at 7 PM.,BookRestaurant
I'd like to book a reservation for dinner at 7 PM.,BookRestaurant
I'd like to book a reservation for dinner at 7 PM.,BookRestaurant
I'd like to book a reservation for dinner at 7 PM.,BookRestaurant
I'd like to book a reservation for dinner at 7 PM.,BookRestaurant
I'd like to book a reservation for dinner at 7 PM.,BookRestaurant
Can you make a reservation for four people?,BookRestaurant
Can you make a reservation for four people?,BookRestaurant
Can you make a reservation for four people?,BookRestaurant
Can you make a reservation for four people?,BookRestaurant
Can you make a reservation for four people?,BookRestaurant
Can you make a reservation for four people?,BookRestaurant
Can you make a reservation for four people?,BookRestaurant
Can you make a reservation for four people?,BookRestaurant
Book a table for two at my favorite restaurant.,BookRestaurant
Book a table for two at my favorite restaurant.,BookRestaurant
Book a table for two at my favorite restaurant.,BookRestaurant
Book a table for two at my favorite restaurant.,BookRestaurant
Book a table for two at my favorite restaurant.,BookRestaurant
Book a table for two at my favorite restaurant.,BookRestaurant
Book a table for two at my favorite restaurant.,BookRestaurant
Book a table for two at my favorite restaurant.,BookRestaurant
Find a restaurant and make a reservation for lunch.,BookRestaurant
Find a restaurant and make a reservation for lunch.,BookRestaurant
Find a restaurant and make a reservation for lunch.,BookRestaurant
Find a restaurant and make a reservation for lunch.,BookRestaurant
Find a restaurant and make a reservation for lunch.,BookRestaurant
Find a restaurant and make a reservation for lunch.,BookRestaurant
Find a restaurant and make a reservation for lunch.,BookRestaurant
Find a restaurant and make a reservation for lunch.,BookRestaurant
Reserve a spot for us at the steakhouse.,BookRestaurant
Reserve a spot for us at the steakhouse.,BookRestaurant
Reserve a spot for us at the steakhouse.,BookRestaurant
Reserve a spot for us at the steakhouse.,BookRestaurant
Reserve a spot for us at the steakhouse.,BookRestaurant
Reserve a spot for us at the steakhouse.,BookRestaurant
Reserve a spot for us at the steakhouse.,BookRestaurant
Reserve a spot for us at the steakhouse.,BookRestaurant
Mute the volume.,MuteVolume
Mute the volume.,MuteVolume
Mute the volume.,MuteVolume
Mute the volume.,MuteVolume
Mute the volume.,MuteVolume
Mute the volume.,MuteVolume
Mute the volume.,MuteVolume
Mute the volume.,MuteVolume
Can you mute the sound?,MuteVolume
Can you mute the sound?,MuteVolume
Can you mute the sound?,MuteVolume
Can you mute the sound?,MuteVolume
Can you mute the sound?,MuteVolume
Can you mute the sound?,MuteVolume
Can you mute the sound?,MuteVolume
Can you mute the sound?,MuteVolume
Mute everything right now.,MuteVolume
Mute everything right now.,MuteVolume
Mute everything right now.,MuteVolume
Mute everything right now.,MuteVolume
Mute everything right now.,MuteVolume
Mute everything right now.,MuteVolume
Mute everything right now.,MuteVolume
Mute everything right now.,MuteVolume
Turn off the sound.,MuteVolume
Turn off the sound.,MuteVolume
Turn off the sound.,MuteVolume
Turn off the sound.,MuteVolume
Turn off the sound.,MuteVolume
Turn off the sound.,MuteVolume
Turn off the sound.,MuteVolume
Turn off the sound.,MuteVolume
Can you silence the volume?,MuteVolume
Can you silence the volume?,MuteVolume
Can you silence the volume?,MuteVolume
Can you silence the volume?,MuteVolume
Can you silence the volume?,MuteVolume
Can you silence the volume?,MuteVolume
Can you silence the volume?,MuteVolume
Can you silence the volume?,MuteVolume
I need you to mute the music.,MuteVolume
I need you to mute the music.,MuteVolume
I need you to mute the music.,MuteVolume
I need you to mute the music.,MuteVolume
I need you to mute the music.,MuteVolume
I need you to mute the music.,MuteVolume
I need you to mute the music.,MuteVolume
I need you to mute the music.,MuteVolume
Mute all audio right now.,MuteVolume
Mute all audio right now.,MuteVolume
Mute all audio right now.,MuteVolume
Mute all audio right now.,MuteVolume
Mute all audio right now.,MuteVolume
Mute all audio right now.,MuteVolume
Mute all audio right now.,MuteVolume
Mute all audio right now.,MuteVolume
Can you turn the volume off?,MuteVolume
Can you turn the volume off?,MuteVolume
Can you turn the volume off?,MuteVolume
Can you turn the volume off?,MuteVolume
Can you turn the volume off?,MuteVolume
Can you turn the volume off?,MuteVolume
Can you turn the volume off?,MuteVolume
Can you turn the volume off?,MuteVolume
Switch the sound off.,MuteVolume
Switch the sound off.,MuteVolume
Switch the sound off.,MuteVolume
Switch the sound off.,MuteVolume
Switch the sound off.,MuteVolume
Switch the sound off.,MuteVolume
Switch the sound off.,MuteVolume
Switch the sound off.,MuteVolume
Mute the audio for now.,MuteVolume
Mute the audio for now.,MuteVolume
Mute the audio for now.,MuteVolume
Mute the audio for now.,MuteVolume
Mute the audio for now.,MuteVolume
Mute the audio for now.,MuteVolume
Mute the audio for now.,MuteVolume
Mute the audio for now.,MuteVolume
Increase the volume a bit.,IncreaseVolume
Increase the volume a bit.,IncreaseVolume
Increase the volume a bit.,IncreaseVolume
Increase the volume a bit.,IncreaseVolume
Increase the volume a bit.,IncreaseVolume
Increase the volume a bit.,IncreaseVolume
Increase the volume a bit.,IncreaseVolume
Increase the volume a bit.,IncreaseVolume
Can you turn the volume up?,IncreaseVolume
Can you turn the volume up?,IncreaseVolume
Can you turn the volume up?,IncreaseVolume
Can you turn the volume up?,IncreaseVolume
Can you turn the volume up?,IncreaseVolume
Can you turn the volume up?,IncreaseVolume
Can you turn the volume up?,IncreaseVolume
Can you turn the volume up?,IncreaseVolume
Turn up the music.,IncreaseVolume
Turn up the music.,IncreaseVolume
Turn up the music.,IncreaseVolume
Turn up the music.,IncreaseVolume
Turn up the music.,IncreaseVolume
Turn up the music.,IncreaseVolume
Turn up the music.,IncreaseVolume
Turn up the music.,IncreaseVolume
Raise the volume to a higher level.,IncreaseVolume
Raise the volume to a higher level.,IncreaseVolume
Raise the volume to a higher level.,IncreaseVolume
Raise the volume to a higher level.,IncreaseVolume
Raise the volume to a higher level.,IncreaseVolume
Raise the volume to a higher level.,IncreaseVolume
Raise the volume to a higher level.,IncreaseVolume
Raise the volume to a higher level.,IncreaseVolume
Can you boost the sound?,IncreaseVolume
Can you boost the sound?,IncreaseVolume
Can you boost the sound?,IncreaseVolume
Can you boost the sound?,IncreaseVolume
Can you boost the sound?,IncreaseVolume
Can you boost the sound?,IncreaseVolume
Can you boost the sound?,IncreaseVolume
Can you boost the sound?,IncreaseVolume
Increase the volume by 20 percent.,IncreaseVolume
Increase the volume by 20 percent.,IncreaseVolume
Increase the volume by 20 percent.,IncreaseVolume
Increase the volume by 20 percent.,IncreaseVolume
Increase the volume by 20 percent.,IncreaseVolume
Increase the volume by 20 percent.,IncreaseVolume
Increase the volume by 20 percent.,IncreaseVolume
Increase the volume by 20 percent.,IncreaseVolume
Make the sound louder.,IncreaseVolume
Make the sound louder.,IncreaseVolume
Make the sound louder.,IncreaseVolume
Make the sound louder.,IncreaseVolume
Make the sound louder.,IncreaseVolume
Make the sound louder.,IncreaseVolume
Make the sound louder.,IncreaseVolume
Make the sound louder.,IncreaseVolume
Turn up the volume by 10 percent.,IncreaseVolume
Turn up the volume by 10 percent.,IncreaseVolume
Turn up the volume by 10 percent.,IncreaseVolume
Turn up the volume by 10 percent.,IncreaseVolume
Turn up the volume by 10 percent.,IncreaseVolume
Turn up the volume by 10 percent.,IncreaseVolume
Turn up the volume by 10 percent.,IncreaseVolume
Turn up the volume by 10 percent.,IncreaseVolume
Increase the music volume.,IncreaseVolume
Increase the music volume.,IncreaseVolume
Increase the music volume.,IncreaseVolume
Increase the music volume.,IncreaseVolume
Increase the music volume.,IncreaseVolume
Increase the music volume.,IncreaseVolume
Increase the music volume.,IncreaseVolume
Increase the music volume.,IncreaseVolume
Can you raise the volume by a bit?,IncreaseVolume
Can you raise the volume by a bit?,IncreaseVolume
Can you raise the volume by a bit?,IncreaseVolume
Can you raise the volume by a bit?,IncreaseVolume
Can you raise the volume by a bit?,IncreaseVolume
Can you raise the volume by a bit?,IncreaseVolume
Can you raise the volume by a bit?,IncreaseVolume
Can you raise the volume by a bit?,IncreaseVolume
Can you lower the volume?,DecreaseVolume
Can you lower the volume?,DecreaseVolume
Can you lower the volume?,DecreaseVolume
Can you lower the volume?,DecreaseVolume
Can you lower the volume?,DecreaseVolume
Can you lower the volume?,DecreaseVolume
Can you lower the volume?,DecreaseVolume
Can you lower the volume?,DecreaseVolume
Decrease the sound a little.,DecreaseVolume
Decrease the sound a little.,DecreaseVolume
Decrease the sound a little.,DecreaseVolume
Decrease the sound a little.,DecreaseVolume
Decrease the sound a little.,DecreaseVolume
Decrease the sound a little.,DecreaseVolume
Decrease the sound a little.,DecreaseVolume
Decrease the sound a little.,DecreaseVolume
Turn the volume down.,DecreaseVolume
Turn the volume down.,DecreaseVolume
Turn the volume down.,DecreaseVolume
Turn the volume down.,DecreaseVolume
Turn the volume down.,DecreaseVolume
Turn the volume down.,DecreaseVolume
Turn the volume down.,DecreaseVolume
Turn the volume down.,DecreaseVolume
I need you to lower the music.,DecreaseVolume
I need you to lower the music.,DecreaseVolume
I need you to lower the music.,DecreaseVolume
I need you to lower the music.,DecreaseVolume
I need you to lower the music.,DecreaseVolume
I need you to lower the music.,DecreaseVolume
I need you to lower the music.,DecreaseVolume
I need you to lower the music.,DecreaseVolume
Reduce the volume by 10 percent.,DecreaseVolume
Reduce the volume by 10 percent.,DecreaseVolume
Reduce the volume by 10 percent.,DecreaseVolume
Reduce the volume by 10 percent.,DecreaseVolume
Reduce the volume by 10 percent.,DecreaseVolume
Reduce the volume by 10 percent.,DecreaseVolume
Reduce the volume by 10 percent.,DecreaseVolume
Reduce the volume by 10 percent.,DecreaseVolume
Turn the volume down by 20 percent.,DecreaseVolume
Turn the volume down by 20 percent.,DecreaseVolume
Turn the volume down by 20 percent.,DecreaseVolume
Turn the volume down by 20 percent.,DecreaseVolume
Turn the volume down by 20 percent.,DecreaseVolume
Turn the volume down by 20 percent.,DecreaseVolume
Turn the volume down by 20 percent.,DecreaseVolume
Turn the volume down by 20 percent.,DecreaseVolume
Can you bring the volume down?,DecreaseVolume
Can you bring the volume down?,DecreaseVolume
Can you bring the volume down?,DecreaseVolume
Can you bring the volume down?,DecreaseVolume
Can you bring the volume down?,DecreaseVolume
Can you bring the volume down?,DecreaseVolume
Can you bring the volume down?,DecreaseVolume
Can you bring the volume down?,DecreaseVolume
Lower the sound by 5 percent.,DecreaseVolume
Lower the sound by 5 percent.,DecreaseVolume
Lower the sound by 5 percent.,DecreaseVolume
Lower the sound by 5 percent.,DecreaseVolume
Lower the sound by 5 percent.,DecreaseVolume
Lower the sound by 5 percent.,DecreaseVolume
Lower the sound by 5 percent.,DecreaseVolume
Lower the sound by 5 percent.,DecreaseVolume
Decrease the volume to a quieter level.,DecreaseVolume
Decrease the volume to a quieter level.,DecreaseVolume
Decrease the volume to a quieter level.,DecreaseVolume
Decrease the volume to a quieter level.,DecreaseVolume
Decrease the volume to a quieter level.,DecreaseVolume
Decrease the volume to a quieter level.,DecreaseVolume
Decrease the volume to a quieter level.,DecreaseVolume
Decrease the volume to a quieter level.,DecreaseVolume
Turn down the music a bit.,DecreaseVolume
Turn down the music a bit.,DecreaseVolume
Turn down the music a bit.,DecreaseVolume
Turn down the music a bit.,DecreaseVolume
Turn down the music a bit.,DecreaseVolume
Turn down the music a bit.,DecreaseVolume
Turn down the music a bit.,DecreaseVolume
Turn down the music a bit.,DecreaseVolume
Can you turn on the lights?,TurnOnLights
Can you turn on the lights?,TurnOnLights
Can you turn on the lights?,TurnOnLights
Can you turn on the lights?,TurnOnLights
Can you turn on the lights?,TurnOnLights
Can you turn on the lights?,TurnOnLights
Can you turn on the lights?,TurnOnLights
Can you turn on the lights?,TurnOnLights
Switch on the living room lights.,TurnOnLights
Switch on the living room lights.,TurnOnLights
Switch on the living room lights.,TurnOnLights
Switch on the living room lights.,TurnOnLights
Switch on the living room lights.,TurnOnLights
Switch on the living room lights.,TurnOnLights
Switch on the living room lights.,TurnOnLights
Switch on the living room lights.,TurnOnLights
Turn on all the lights in the house.,TurnOnLights
Turn on all the lights in the house.,TurnOnLights
Turn on all the lights in the house.,TurnOnLights
Turn on all the lights in the house.,TurnOnLights
Turn on all the lights in the house.,TurnOnLights
Turn on all the lights in the house.,TurnOnLights
Turn on all the lights in the house.,TurnOnLights
Turn on all the lights in the house.,TurnOnLights
Can you light up the room?,TurnOnLights
Can you light up the room?,TurnOnLights
Can you light up the room?,TurnOnLights
Can you light up the room?,TurnOnLights
Can you light up the room?,TurnOnLights
Can you light up the room?,TurnOnLights
Can you light up the room?,TurnOnLights
Can you light up the room?,TurnOnLights
Switch on the bedroom light.,TurnOnLights
Switch on the bedroom light.,TurnOnLights
Switch on the bedroom light.,TurnOnLights
Switch on the bedroom light.,TurnOnLights
Switch on the bedroom light.,TurnOnLights
